fhrs_id,business_name,business_type,rating_value,rating_date,new_rating_pending,address_line_3,post_code,rating_value_num,rating_value_text,rating_year,rating_month,postcode_area,rating_category
1820492,New Dawn Community Cafe,Restaurant/Cafe/Canteen,4,2023-06-06,False,Manchester,M23 0ND,4,,2023,6,M23,Good
1818875,New Fallowfield Fish & Chips,Takeaway/sandwich shop,4,2024-08-09,False,Manchester,M14 7LE,4,,2024,8,M14,Good
1816523,New Fresh Halal Meat,Retailers - other,5,2020-10-14,False,Manchester,M19 1FE,5,,2020,10,M19,Excellent
1894652,New Ideal Catering,Other catering premises,1,2025-10-16,False,Manchester,M13 0QJ,1,,2025,10,M13,Needs Major Improvement
1816207,New Imperial,Restaurant/Cafe/Canteen,4,2025-03-02,False,Manchester,M40 0JX,4,,2025,3,M40,Good
1817935,New Lahori Grill,Restaurant/Cafe/Canteen,1,2026-03-09,False,Manchester,M19 3BS,1,,2026,3,M19,Needs Major Improvement
1817662,New Mario Market Limited,Retailers - other,4,2024-03-07,False,Manchester,M19 3PZ,4,,2024,3,M19,Good
1820118,New Mexico Fried Chicken,Restaurant/Cafe/Canteen,5,2023-03-25,False,Manchester,M19 3PW,5,,2023,3,M19,Excellent
1819442,New Moston Club Company Ltd,Pub/bar/nightclub,5,2022-02-01,False,Manchester,M40 3RQ,5,,2022,2,M40,Excellent
1819106,New Moston Conservative Club,Pub/bar/nightclub,5,2023-03-21,False,Manchester,M40 0JJ,5,,2023,3,M40,Excellent
1818588,New Moston Inn,Pub/bar/nightclub,5,2025-02-26,False,Manchester,M40 3ST,5,,2025,2,M40,Excellent
1818174,New Moston Primary School,School/college/university,5,2025-05-08,False,Manchester,M40 3QJ,5,,2025,5,M40,Excellent
1818132,New Moston Superstore,Retailers - other,1,2026-02-23,False,Manchester,M40 9NB,1,,2026,2,M40,Needs Major Improvement
1820260,New Peking Garden,Takeaway/sandwich shop,3,2024-05-30,False,Manchester,M40 9WT,3,,2024,5,M40,Satisfactory
1819075,New Peking House,Restaurant/Cafe/Canteen,5,2024-06-12,False,Manchester,M20 6RT,5,,2024,6,M20,Excellent
1819107,New Shuhel,Takeaway/sandwich shop,3,2025-09-30,False,Manchester,M40 2JF,3,,2025,9,M40,Satisfactory
1818704,New Sunflower Takeaway,Takeaway/sandwich shop,4,2026-03-12,False,Manchester,M22 1TE,4,,2026,3,M22,Good
